"id_estados","estado","sigla","data_inclusao","data_atualizacao"
1,"Acre","AC","2024-01-28 19:58:55.37794+00","2024-01-28 19:58:55.37794+00"
2,"Alagoas","AL","2024-01-28 19:58:55.37794+00","2024-01-28 19:58:55.37794+00"
3,"Amapá","AP","2024-01-28 19:58:55.37794+00","2024-01-28 19:58:55.37794+00"
4,"Amazonas","AM","2024-01-28 19:58:55.37794+00","2024-01-28 19:58:55.37794+00"
5,"Bahia","BA","2024-01-28 19:58:55.37794+00","2024-01-28 19:58:55.37794+00"
